Date,Rank,Title,Artist,Album,Release Date,Popularity,Spotify ID,Days Between Release and Chart Date
2025-04-26,1,luther (with sza),"Kendrick Lamar, SZA",GNX,2024-11-21,94,2CGNAOSuO1MEFCbBRgUzjd,156
2025-04-26,2,Die With A Smile,"Lady Gaga, Bruno Mars",Die With A Smile,2024-08-16,99,2plbrEY59IikOBgBGLjaoe,253
2025-04-26,3,NOKIA,Drake,$ome $exy $ongs 4 U,2025-02-14,94,2u9S9JJ6hTZS3Vf22HOZKg,71
2025-04-26,4,Pink Pony Club,Chappell Roan,The Rise and Fall of a Midwest Princess,2023-09-22,89,1k2pQc5i348DCHwbn5KTdc,582
2025-04-26,5,Ordinary,Alex Warren,Ordinary,2025-02-07,96,6qqrTXSdwiJaq8SO0X2lSe,78
2025-04-26,6,A Bar Song (Tipsy),Shaboozey,A Bar Song (Tipsy),2024-04-12,88,2FQrifJ1N335Ljm3TjTVVf,379
2025-04-26,7,Lose Control,Teddy Swims,Lose Control,2023-06-23,85,6usohdchdzW9oML7VC4Uhk,673
2025-04-26,8,MELTDOWN (feat. Drake),"Travis Scott, Drake",UTOPIA,2023-07-28,77,67nepsnrcZkowTxMWigSbb,638
2025-04-26,9,Beautiful Things,Benson Boone,Beautiful Things,2024-01-18,89,6tNQ70jh4OwmPGpYy6R2o9,464
2025-04-26,10,I'm The Problem,Morgan Wallen,I'm The Problem,2025-01-31,88,3HlWVKwU0JqJXqJK9DWHnZ,85
2025-04-26,11,Just In Case,Morgan Wallen,Just In Case,2025-03-21,89,02Ya2Q08bBKFqUJvjmyRXK,36
2025-04-26,12,BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,100,6dOtVTDdiauQNBQEDOtlAB,344
2025-04-26,13,APT.,"ROSÉ, Bruno Mars",APT.,2024-10-18,96,5vNRhkKd0yEAg8suGBpjeY,190
2025-04-26,14,Anxiety,Doechii,Anxiety,2025-03-05,94,1musbempyJAw5gfSKZHXP9,52
2025-04-26,15,Espresso,Sabrina Carpenter,Espresso,2024-04-12,90,2qSkIjg1o9h3YT9RAgYN75,379
2025-04-26,16,MUTT,Leon Thomas,MUTT,2024-09-27,85,2uvE4L5ZsYKpv8hbK4TIOt,211
2025-04-26,17,convos with my racks,uno2slumped,zzz,2024-12-20,2,0c1OFn0MYtVtlIlg1GQr1O,127
2025-04-26,18,That’s So True,Gracie Abrams,The Secret of Us (Deluxe),2024-10-18,98,7ne4VBA60CxGM75vw0EYad,190
2025-04-26,19,Not Like Us,Kendrick Lamar,Not Like Us,2024-05-04,96,6AI3ezQ4o3HUoP6Dhudph3,357
2025-04-26,20,Love Somebody,Morgan Wallen,Love Somebody,2024-10-18,88,7hR22TOX3RorxJPcsz5Wbo,190
2025-04-26,21,Super Bowl LIX Halftime Show - Live,"Kendrick Lamar, NFL",Super Bowl LIX Halftime Show (Live),2025-02-09,72,6g6W3pMAFbp2FS1QCijkpM,76
2025-04-26,22,Messy,Lola Young,Messy,2024-05-30,92,3SKH53SPQbEnZR4cJPVaz2,331
