Rank,Track Name,Artist(s),ISRC,Release Date,Streams,Peak Rank,Weeks on Chart,Entry Rank,Entry Date,Region,Chart Type,Date
1,Die With A Smile,"Lady Gaga, Bruno Mars",,,,0,,0,,,,
2,BIRDS OF A FEATHER,Billie Eilish,,,,0,,0,,,,
3,Ordinary,Alex Warren,,,,0,,0,,,,
4,APT.,"ROSÉ, Bruno Mars",,,,0,,0,,,,
5,luther (with sza),"Kendrick Lamar, SZA",,,,0,,0,,,,
6,That’s So True,Gracie Abrams,,,,0,,0,,,,
7,La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums",,,,0,,0,,,,
8,like JENNIE,JENNIE,,,,0,,0,,,,
9,Sailor Song,Gigi Perez,,,,0,,0,,,,
10,DtMF,Bad Bunny,,,,0,,0,,,,
11,Anxiety,Doechii,,,,0,,0,,,,
12,Beautiful Things,Benson Boone,,,,0,,0,,,,
13,Espresso,Sabrina Carpenter,,,,0,,0,,,,
14,Messy,Lola Young,,,,0,,0,,,,
15,WILDFLOWER,Billie Eilish,,,,0,,0,,,,
16,Te Quería Ver,"Alemán, Neton Vega",,,,0,,0,,,,
17,BAILE INoLVIDABLE,Bad Bunny,,,,0,,0,,,,
18,NOKIA,Drake,,,,0,,0,,,,
19,Sports car,Tate McRae,,,,0,,0,,,,
20,Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti",,,,0,,0,,,,
21,Abracadabra,Lady Gaga,,,,0,,0,,,,
22,Who,Jimin,,,,0,,0,,,,
23,Show Me Love,"WizTheMc, bees & honey",,,,0,,0,,,,
24,Not Like Us,Kendrick Lamar,,,,0,,0,,,,
25,You'll Be in My Heart - Spotify Singles,NIKI,,,,0,,0,,,,
26,All The Stars (with SZA),"Kendrick Lamar, SZA",,,,0,,0,,,,
27,Morena,"Neton Vega, Peso Pluma",,,,0,,0,,,,
28,Lose Control,Teddy Swims,,,,0,,0,,,,
29,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",,,,0,,0,,,,
30,Multo,Cup of Joe,,,,0,,0,,,,
31,"Good Luck, Babe!",Chappell Roan,,,,0,,0,,,,
32,back to friends,sombr,,,,0,,0,,,,
33,Taste,Sabrina Carpenter,,,,0,,0,,,,
34,EoO,Bad Bunny,,,,0,,0,,,,
35,Pink Pony Club,Chappell Roan,,,,0,,0,,,,
36,VITAMINA,"Jombriel, DFZM, Jøtta",,,,0,,0,,,,
37,Iris,The Goo Goo Dolls,,,,0,,0,,,,
38,Si Antes Te Hubiera Conocido,KAROL G,,,,0,,0,,,,
39,capaz (merengueton),"Alleh, Yorghaki",,,,0,,0,,,,
40,No One Noticed,The Marías,,,,0,,0,,,,
41,NUEVAYoL,Bad Bunny,,,,0,,0,,,,
42,I Wanna Be Yours,Arctic Monkeys,,,,0,,0,,,,
43,Azizam,Ed Sheeran,,,,0,,0,,,,
44,Sweater Weather,The Neighbourhood,,,,0,,0,,,,
45,blue,yung kai,,,,0,,0,,,,
46,twilight zone,Ariana Grande,,,,0,,0,,,,
47,VOY A LLeVARTE PA PR,Bad Bunny,,,,0,,0,,,,
48,PASSO BEM SOLTO - Slowed,ATLXS,,,,0,,0,,,,
49,Loco,Neton Vega,,,,0,,0,,,,
50,The Night We Met,Lord Huron,,,,0,,0,,,,
